,inference time,train time,add time,search time,embed time,accuracy,#modify,#right
default,3.6218999999999997,0.0,0.0,0.215,3.4039,1.0,703,703
Flat,3.526100000000001,0.0,1.0008,0.7012999999999998,2.8215,0.9602,678,675
IVFxFlat,3.0616999999999996,0.9744,1.1342,0.2145,2.844,0.0,0,0
PQx,3.3178000000000005,6.7626,2.8233,0.46049999999999996,2.854,0.6273,703,441
IVFxPQy,3.1846,4.2859,1.215,0.2472,2.9334000000000002,0.7027,694,494
LSH,3.5627999999999997,0.0,0.7695,0.63,2.928899999999999,0.5206,477,366
HNSW16-50-50,3.568099999999999,0.0,47.6024,0.3578999999999999,3.2058,0.8307,703,584
HNSW16-50-100,3.3233999999999995,0.0,91.3582,0.3343,2.9851,0.9047,703,636
HNSW16-100-50,6.8052,0.0,45.4044,0.44390000000000013,6.3569,0.9189,703,646
HNSW16-100-100,3.4010000000000007,0.0,85.1919,0.3462,3.0512,0.9374,703,659
HNSW32-50-50,3.3110000000000013,0.0,125.0924,0.351,2.957,0.973,703,684
HNSW32-50-100,3.2121000000000004,0.0,100.4916,0.30240000000000006,2.9064000000000005,0.9075,703,638
HNSW32-100-50,3.5603000000000002,0.0,124.5644,0.46590000000000004,3.090699999999999,0.9787,703,688
HNSW32-100-100,3.289300000000001,0.0,106.631,0.353,2.9328,0.9516,703,669
HNSW64-50-50,3.3531999999999993,0.0,150.4489,0.39770000000000005,2.9520000000000004,0.9502,703,668
HNSW64-50-100,3.327300000000001,0.0,269.3766,0.41550000000000004,2.908299999999999,0.9858,703,693
HNSW64-100-50,3.739499999999999,0.0,146.1938,0.6304000000000001,3.104800000000001,0.9516,703,669
HNSW64-100-100,3.5248000000000004,0.0,256.9456,0.5664000000000001,2.955299999999999,0.9886,703,695
